,articleid,level,sentiment_score,sentiment_magnitude,language,sentence_text,byline,section,item_type,material_type_facet,des_facet,org_facet,per_facet,geo_facet,title,abstract,first_published_date,first_published_date_parsed
2,16hometest2,sentence,0.0,0.0,,Clears Another Coronavirus Testing Kit for Use at Home.,BY SHEILA KAPLAN,Health,Article,News,"['Tests (Medical)', 'Laboratories and Scientific Equipment', 'Coronavirus (2019-nCoV)']","['Food and Drug Administration', 'Everlywell Inc']","['Shuren, Jeffrey E']",,F.D.A. Clears Another Coronavirus Testing Kit for Use at Home,The agency granted emergency clearance for a testing kit that allows a consumer to take a nasal sample at home and send it to a laboratory for the diagnosis.,2020-05-16T17:20:54-04:00,2020-05-16 22:20:54+01:00
3,16hometest2,sentence,0.4000000059604645,0.4000000059604645,,The agency granted emergency clearance for a testing kit that allows a consumer to take a nasal sample at home and send it to a laboratory for the diagnosis.,BY SHEILA KAPLAN,Health,Article,News,"['Tests (Medical)', 'Laboratories and Scientific Equipment', 'Coronavirus (2019-nCoV)']","['Food and Drug Administration', 'Everlywell Inc']","['Shuren, Jeffrey E']",,F.D.A. Clears Another Coronavirus Testing Kit for Use at Home,The agency granted emergency clearance for a testing kit that allows a consumer to take a nasal sample at home and send it to a laboratory for the diagnosis.,2020-05-16T17:20:54-04:00,2020-05-16 22:20:54+01:00
0,16trumpjr-biden,document,-0.10000000149011612,1.100000023841858,en,,BY JONATHAN MARTIN,U.S.,Article,News,"['Presidential Election of 2020', 'Social Media']",,"['Biden, Joseph R Jr', 'Trump, Donald J', 'Trump, Donald J Jr']",,Donald Trump Jr. Smears Biden With Baseless Instagram Post,"Signaling the increasingly dark tactics of the Trump campaign, the president’s oldest son falsely accused Mr. Biden of preying on children.",2020-05-16T17:05:40-04:00,2020-05-16 22:05:40+01:00
1,16trumpjr-biden,sentence,0.20000000298023224,0.20000000298023224,,Donald Trump Jr.,BY JONATHAN MARTIN,U.S.,Article,News,"['Presidential Election of 2020', 'Social Media']",,"['Biden, Joseph R Jr', 'Trump, Donald J', 'Trump, Donald J Jr']",,Donald Trump Jr. Smears Biden With Baseless Instagram Post,"Signaling the increasingly dark tactics of the Trump campaign, the president’s oldest son falsely accused Mr. Biden of preying on children.",2020-05-16T17:05:40-04:00,2020-05-16 22:05:40+01:00
2,16trumpjr-biden,sentence,0.0,0.0,,Smears Biden With Baseless Instagram Post.,BY JONATHAN MARTIN,U.S.,Article,News,"['Presidential Election of 2020', 'Social Media']",,"['Biden, Joseph R Jr', 'Trump, Donald J', 'Trump, Donald J Jr']",,Donald Trump Jr. Smears Biden With Baseless Instagram Post,"Signaling the increasingly dark tactics of the Trump campaign, the president’s oldest son falsely accused Mr. Biden of preying on children.",2020-05-16T17:05:40-04:00,2020-05-16 22:05:40+01:00
3,16trumpjr-biden,sentence,-0.800000011920929,0.800000011920929,,"Signaling the increasingly dark tactics of the Trump campaign, the president’s oldest son falsely accused Mr. Biden of preying on children.",BY JONATHAN MARTIN,U.S.,Article,News,"['Presidential Election of 2020', 'Social Media']",,"['Biden, Joseph R Jr', 'Trump, Donald J', 'Trump, Donald J Jr']",,Donald Trump Jr. Smears Biden With Baseless Instagram Post,"Signaling the increasingly dark tactics of the Trump campaign, the president’s oldest son falsely accused Mr. Biden of preying on children.",2020-05-16T17:05:40-04:00,2020-05-16 22:05:40+01:00
0,16xp-latimer,document,-0.20000000298023224,0.5,en,,BY DERRICK BRYSON TAYLOR,Sports,Article,News,"['Football', 'Assaults', 'Firearms']","['Denver Broncos', 'Washington Redskins', 'National Football League']",['Cody Latimer'],['Colorado'],Cody Latimer of Washington Redskins Faces Assault and Weapons Charges,"Deputies went to an apartment complex in Colorado early Saturday morning after receiving a report of gunfire inside a unit, officials said.",2020-05-16T17:03:57-04:00,2020-05-16 22:03:57+01:00
1,16xp-latimer,sentence,-0.10000000149011612,0.10000000149011612,,Cody Latimer of Washington Redskins Faces Assault and Weapons Charges.,BY DERRICK BRYSON TAYLOR,Sports,Article,News,"['Football', 'Assaults', 'Firearms']","['Denver Broncos', 'Washington Redskins', 'National Football League']",['Cody Latimer'],['Colorado'],Cody Latimer of Washington Redskins Faces Assault and Weapons Charges,"Deputies went to an apartment complex in Colorado early Saturday morning after receiving a report of gunfire inside a unit, officials said.",2020-05-16T17:03:57-04:00,2020-05-16 22:03:57+01:00
2,16xp-latimer,sentence,-0.4000000059604645,0.4000000059604645,,"Deputies went to an apartment complex in Colorado early Saturday morning after receiving a report of gunfire inside a unit, officials said.",BY DERRICK BRYSON TAYLOR,Sports,Article,News,"['Football', 'Assaults', 'Firearms']","['Denver Broncos', 'Washington Redskins', 'National Football League']",['Cody Latimer'],['Colorado'],Cody Latimer of Washington Redskins Faces Assault and Weapons Charges,"Deputies went to an apartment complex in Colorado early Saturday morning after receiving a report of gunfire inside a unit, officials said.",2020-05-16T17:03:57-04:00,2020-05-16 22:03:57+01:00
0,16kirchherr,document,0.10000000149011612,0.20000000298023224,en,,BY ALLAN KOZINN,Arts,Article,Obituary (Obit),"['Photography', 'Pop and Rock Music']","['Beatles, The']","['Kirchherr, Astrid']",['Hamburg (Germany)'],"Astrid Kirchherr, Who Helped Create the Beatles’ Image, Dies at 81","The stark black-and-white photographs she took of the group in Hamburg, Germany, before the musicians were famous captured both their toughness and their sensitivity.",2020-05-16T16:33:11-04:00,2020-05-16 21:33:11+01:00
1,16kirchherr,sentence,0.0,0.0,,"Astrid Kirchherr, Who Helped Create the Beatles’ Image, Dies at 81.",BY ALLAN KOZINN,Arts,Article,Obituary (Obit),"['Photography', 'Pop and Rock Music']","['Beatles, The']","['Kirchherr, Astrid']",['Hamburg (Germany)'],"Astrid Kirchherr, Who Helped Create the Beatles’ Image, Dies at 81","The stark black-and-white photographs she took of the group in Hamburg, Germany, before the musicians were famous captured both their toughness and their sensitivity.",2020-05-16T16:33:11-04:00,2020-05-16 21:33:11+01:00
2,16kirchherr,sentence,0.20000000298023224,0.20000000298023224,,"The stark black-and-white photographs she took of the group in Hamburg, Germany, before the musicians were famous captured both their toughness and their sensitivity.",BY ALLAN KOZINN,Arts,Article,Obituary (Obit),"['Photography', 'Pop and Rock Music']","['Beatles, The']","['Kirchherr, Astrid']",['Hamburg (Germany)'],"Astrid Kirchherr, Who Helped Create the Beatles’ Image, Dies at 81","The stark black-and-white photographs she took of the group in Hamburg, Germany, before the musicians were famous captured both their toughness and their sensitivity.",2020-05-16T16:33:11-04:00,2020-05-16 21:33:11+01:00
0,16xp-willard,document,0.30000001192092896,0.6000000238418579,en,,BY JOHNNY DIAZ,Arts,Article,News,"['Television', 'Deaths (Obituaries)', 'Comedy and Humor', 'Movies']",,"['Willard, Fred']",,"Fred Willard, Comic Actor Who Thrived in Ensembles, Dies at 86","Mr. Willard, who was nominated for four Emmy Awards, was a frequent and memorable collaborator with the director Christopher Guest.",2020-05-16T16:10:49-04:00,2020-05-16 21:10:49+01:00
1,16xp-willard,sentence,0.0,0.0,,"Fred Willard, Comic Actor Who Thrived in Ensembles, Dies at 86.",BY JOHNNY DIAZ,Arts,Article,News,"['Television', 'Deaths (Obituaries)', 'Comedy and Humor', 'Movies']",,"['Willard, Fred']",,"Fred Willard, Comic Actor Who Thrived in Ensembles, Dies at 86","Mr. Willard, who was nominated for four Emmy Awards, was a frequent and memorable collaborator with the director Christopher Guest.",2020-05-16T16:10:49-04:00,2020-05-16 21:10:49+01:00
2,16xp-willard,sentence,0.6000000238418579,0.6000000238418579,,"Mr. Willard, who was nominated for four Emmy Awards, was a frequent and memorable collaborator with the director Christopher Guest.",BY JOHNNY DIAZ,Arts,Article,News,"['Television', 'Deaths (Obituaries)', 'Comedy and Humor', 'Movies']",,"['Willard, Fred']",,"Fred Willard, Comic Actor Who Thrived in Ensembles, Dies at 86","Mr. Willard, who was nominated for four Emmy Awards, was a frequent and memorable collaborator with the director Christopher Guest.",2020-05-16T16:10:49-04:00,2020-05-16 21:10:49+01:00
0,16dc-investigation,document,0.0,0.800000011920929,en,,BY CATIE EDMONDSON,U.S.,Article,News,"['United States Politics and Government', 'Inspectors General']","['Democratic Party', 'House Committee on Foreign Affairs', 'Senate Committee on Foreign Relations', 'State Department']","['Linick, Steve A', 'Pompeo, Mike', 'Trump, Donald J']",,Top Democrats Open Investigation Into Ouster of State Dept. Inspector General,The lawmakers said that they believed Secretary of State Mike Pompeo recommended Steve Linick’s removal because he had opened an investigation into Mr. Pompeo’s conduct.,2020-05-16T16:07:00-04:00,2020-05-16 21:07:00+01:00
1,16dc-investigation,sentence,0.30000001192092896,0.30000001192092896,,Top Democrats Open Investigation Into Ouster of State Dept.,BY CATIE EDMONDSON,U.S.,Article,News,"['United States Politics and Government', 'Inspectors General']","['Democratic Party', 'House Committee on Foreign Affairs', 'Senate Committee on Foreign Relations', 'State Department']","['Linick, Steve A', 'Pompeo, Mike', 'Trump, Donald J']",,Top Democrats Open Investigation Into Ouster of State Dept. Inspector General,The lawmakers said that they believed Secretary of State Mike Pompeo recommended Steve Linick’s removal because he had opened an investigation into Mr. Pompeo’s conduct.,2020-05-16T16:07:00-04:00,2020-05-16 21:07:00+01:00
2,16dc-investigation,sentence,0.0,0.0,,Inspector General.,BY CATIE EDMONDSON,U.S.,Article,News,"['United States Politics and Government', 'Inspectors General']","['Democratic Party', 'House Committee on Foreign Affairs', 'Senate Committee on Foreign Relations', 'State Department']","['Linick, Steve A', 'Pompeo, Mike', 'Trump, Donald J']",,Top Democrats Open Investigation Into Ouster of State Dept. Inspector General,The lawmakers said that they believed Secretary of State Mike Pompeo recommended Steve Linick’s removal because he had opened an investigation into Mr. Pompeo’s conduct.,2020-05-16T16:07:00-04:00,2020-05-16 21:07:00+01:00
3,16dc-investigation,sentence,-0.4000000059604645,0.4000000059604645,,The lawmakers said that they believed Secretary of State Mike Pompeo recommended Steve Linick’s removal because he had opened an investigation into Mr. Pompeo’s conduct.,BY CATIE EDMONDSON,U.S.,Article,News,"['United States Politics and Government', 'Inspectors General']","['Democratic Party', 'House Committee on Foreign Affairs', 'Senate Committee on Foreign Relations', 'State Department']","['Linick, Steve A', 'Pompeo, Mike', 'Trump, Donald J']",,Top Democrats Open Investigation Into Ouster of State Dept. Inspector General,The lawmakers said that they believed Secretary of State Mike Pompeo recommended Steve Linick’s removal because he had opened an investigation into Mr. Pompeo’s conduct.,2020-05-16T16:07:00-04:00,2020-05-16 21:07:00+01:00
0,16xp-lizard,document,-0.30000001192092896,1.399999976158142,en,,BY JOHNNY DIAZ,U.S.,Article,News,"['Lizards', 'Invasive Species', 'Reptiles']",,,"['Georgia', 'Florida']",Exotic Lizards Creep Into Georgia. Don’t Expect Southern Hospitality.,"State wildlife officials have warned residents to be on the lookout for the Argentine black and white tegu, an invasive lizard species that is threatening native creatures.",2020-05-16T15:57:42-04:00,2020-05-16 20:57:42+01:00
1,16xp-lizard,sentence,0.20000000298023224,0.20000000298023224,,Exotic Lizards Creep Into Georgia.,BY JOHNNY DIAZ,U.S.,Article,News,"['Lizards', 'Invasive Species', 'Reptiles']",,,"['Georgia', 'Florida']",Exotic Lizards Creep Into Georgia. Don’t Expect Southern Hospitality.,"State wildlife officials have warned residents to be on the lookout for the Argentine black and white tegu, an invasive lizard species that is threatening native creatures.",2020-05-16T15:57:42-04:00,2020-05-16 20:57:42+01:00
2,16xp-lizard,sentence,-0.800000011920929,0.800000011920929,,Don’t Expect Southern Hospitality..,BY JOHNNY DIAZ,U.S.,Article,News,"['Lizards', 'Invasive Species', 'Reptiles']",,,"['Georgia', 'Florida']",Exotic Lizards Creep Into Georgia. Don’t Expect Southern Hospitality.,"State wildlife officials have warned residents to be on the lookout for the Argentine black and white tegu, an invasive lizard species that is threatening native creatures.",2020-05-16T15:57:42-04:00,2020-05-16 20:57:42+01:00
3,16xp-lizard,sentence,-0.30000001192092896,0.30000001192092896,,"State wildlife officials have warned residents to be on the lookout for the Argentine black and white tegu, an invasive lizard species that is threatening native creatures.",BY JOHNNY DIAZ,U.S.,Article,News,"['Lizards', 'Invasive Species', 'Reptiles']",,,"['Georgia', 'Florida']",Exotic Lizards Creep Into Georgia. Don’t Expect Southern Hospitality.,"State wildlife officials have warned residents to be on the lookout for the Argentine black and white tegu, an invasive lizard species that is threatening native creatures.",2020-05-16T15:57:42-04:00,2020-05-16 20:57:42+01:00
0,16virus-obama-hbcu-transcript,document,0.0,0.5,en,,BY THE NEW YORK TIMES,U.S.,Article,News,"['Black People', 'Commencement Speeches', 'Historically Black Colleges and Universities', 'Coronavirus (2019-nCoV)']",,"['Obama, Barack']",,Read the Full Transcript of Obama’s H.B.C.U. Commencement Speech,Former President Barack Obama addressed a ceremony for graduates of historically black colleges and universities. Here is what he had to say.,2020-05-16T15:57:41-04:00,2020-05-16 20:57:41+01:00
1,16virus-obama-hbcu-transcript,sentence,0.0,0.0,,Read the Full Transcript of Obama’s H.B.C.U.,BY THE NEW YORK TIMES,U.S.,Article,News,"['Black People', 'Commencement Speeches', 'Historically Black Colleges and Universities', 'Coronavirus (2019-nCoV)']",,"['Obama, Barack']",,Read the Full Transcript of Obama’s H.B.C.U. Commencement Speech,Former President Barack Obama addressed a ceremony for graduates of historically black colleges and universities. Here is what he had to say.,2020-05-16T15:57:41-04:00,2020-05-16 20:57:41+01:00
2,16virus-obama-hbcu-transcript,sentence,0.20000000298023224,0.20000000298023224,,Commencement Speech.,BY THE NEW YORK TIMES,U.S.,Article,News,"['Black People', 'Commencement Speeches', 'Historically Black Colleges and Universities', 'Coronavirus (2019-nCoV)']",,"['Obama, Barack']",,Read the Full Transcript of Obama’s H.B.C.U. Commencement Speech,Former President Barack Obama addressed a ceremony for graduates of historically black colleges and universities. Here is what he had to say.,2020-05-16T15:57:41-04:00,2020-05-16 20:57:41+01:00
3,16virus-obama-hbcu-transcript,sentence,0.0,0.0,,Former President Barack Obama addressed a ceremony for graduates of historically black colleges and universities.,BY THE NEW YORK TIMES,U.S.,Article,News,"['Black People', 'Commencement Speeches', 'Historically Black Colleges and Universities', 'Coronavirus (2019-nCoV)']",,"['Obama, Barack']",,Read the Full Transcript of Obama’s H.B.C.U. Commencement Speech,Former President Barack Obama addressed a ceremony for graduates of historically black colleges and universities. Here is what he had to say.,2020-05-16T15:57:41-04:00,2020-05-16 20:57:41+01:00
4,16virus-obama-hbcu-transcript,sentence,-0.10000000149011612,0.10000000149011612,,Here is what he had to say.,BY THE NEW YORK TIMES,U.S.,Article,News,"['Black People', 'Commencement Speeches', 'Historically Black Colleges and Universities', 'Coronavirus (2019-nCoV)']",,"['Obama, Barack']",,Read the Full Transcript of Obama’s H.B.C.U. Commencement Speech,Former President Barack Obama addressed a ceremony for graduates of historically black colleges and universities. Here is what he had to say.,2020-05-16T15:57:41-04:00,2020-05-16 20:57:41+01:00
0,16amash,document,-0.30000001192092896,0.699999988079071,en,,BY ALEXANDER BURNS,U.S.,Article,News,['Presidential Election of 2020'],,"['Amash, Justin (1980- )', 'Biden, Joseph R Jr', 'Johnson, Gary E', 'Trump, Donald J', 'Weld, William F']",['Michigan'],"Justin Amash Abandons 2020 Campaign, Citing Pandemic and Polarization",The Michigan conservative said the “extraordinary challenges” of campaigning in the current environment had discouraged him from challenging President Trump and Joe Biden.,2020-05-16T14:57:49-04:00,2020-05-16 19:57:49+01:00
1,16amash,sentence,0.0,0.0,,"Justin Amash Abandons 2020 Campaign, Citing Pandemic and Polarization.",BY ALEXANDER BURNS,U.S.,Article,News,['Presidential Election of 2020'],,"['Amash, Justin (1980- )', 'Biden, Joseph R Jr', 'Johnson, Gary E', 'Trump, Donald J', 'Weld, William F']",['Michigan'],"Justin Amash Abandons 2020 Campaign, Citing Pandemic and Polarization",The Michigan conservative said the “extraordinary challenges” of campaigning in the current environment had discouraged him from challenging President Trump and Joe Biden.,2020-05-16T14:57:49-04:00,2020-05-16 19:57:49+01:00
2,16amash,sentence,-0.699999988079071,0.699999988079071,,The Michigan conservative said the “extraordinary challenges” of campaigning in the current environment had discouraged him from challenging President Trump and Joe Biden.,BY ALEXANDER BURNS,U.S.,Article,News,['Presidential Election of 2020'],,"['Amash, Justin (1980- )', 'Biden, Joseph R Jr', 'Johnson, Gary E', 'Trump, Donald J', 'Weld, William F']",['Michigan'],"Justin Amash Abandons 2020 Campaign, Citing Pandemic and Polarization",The Michigan conservative said the “extraordinary challenges” of campaigning in the current environment had discouraged him from challenging President Trump and Joe Biden.,2020-05-16T14:57:49-04:00,2020-05-16 19:57:49+01:00
0,16carter,document,0.20000000298023224,0.8999999761581421,en,,BY NEIL GENZLINGER,New York,Article,Obituary (Obit),"['Deaths (Obituaries)', 'Stonewall Riots (1969)', 'Homosexuality and Bisexuality', 'Historic Buildings and Sites', 'Demonstrations, Protests and Riots']",,"['Carter, David']",,"David Carter, a Historian of Stonewall, Is Dead at 67",His research into the 1969 uprising that was a turning point in the gay rights movement helped get the site of that uprising recognized as a landmark.,2020-05-16T14:40:46-04:00,2020-05-16 19:40:46+01:00
1,16carter,sentence,-0.20000000298023224,0.20000000298023224,,"David Carter, a Historian of Stonewall, Is Dead at 67.",BY NEIL GENZLINGER,New York,Article,Obituary (Obit),"['Deaths (Obituaries)', 'Stonewall Riots (1969)', 'Homosexuality and Bisexuality', 'Historic Buildings and Sites', 'Demonstrations, Protests and Riots']",,"['Carter, David']",,"David Carter, a Historian of Stonewall, Is Dead at 67",His research into the 1969 uprising that was a turning point in the gay rights movement helped get the site of that uprising recognized as a landmark.,2020-05-16T14:40:46-04:00,2020-05-16 19:40:46+01:00
2,16carter,sentence,0.699999988079071,0.699999988079071,,His research into the 1969 uprising that was a turning point in the gay rights movement helped get the site of that uprising recognized as a landmark.,BY NEIL GENZLINGER,New York,Article,Obituary (Obit),"['Deaths (Obituaries)', 'Stonewall Riots (1969)', 'Homosexuality and Bisexuality', 'Historic Buildings and Sites', 'Demonstrations, Protests and Riots']",,"['Carter, David']",,"David Carter, a Historian of Stonewall, Is Dead at 67",His research into the 1969 uprising that was a turning point in the gay rights movement helped get the site of that uprising recognized as a landmark.,2020-05-16T14:40:46-04:00,2020-05-16 19:40:46+01:00
0,16Levine,document,-0.4000000059604645,0.8999999761581421,en,,BY EITAN LEVINE,Opinion,Article,Op-Ed,"['Funerals and Memorials', 'Holocaust and the Nazi Era', 'Coronavirus (2019-nCoV)', 'Rabbis', 'Quarantines', 'Grandparents']",,,['New York City'],Burying My Bubby During the Pandemic,"The coronavirus is a deep, dark life lesson in how to experience something awful while quietly leaning over to your neighbor and whispering, “Can you believe these schmucks?”",2020-05-16T14:30:04-04:00,2020-05-16 19:30:04+01:00
1,16Levine,sentence,0.0,0.0,,Burying My Bubby During the Pandemic.,BY EITAN LEVINE,Opinion,Article,Op-Ed,"['Funerals and Memorials', 'Holocaust and the Nazi Era', 'Coronavirus (2019-nCoV)', 'Rabbis', 'Quarantines', 'Grandparents']",,,['New York City'],Burying My Bubby During the Pandemic,"The coronavirus is a deep, dark life lesson in how to experience something awful while quietly leaning over to your neighbor and whispering, “Can you believe these schmucks?”",2020-05-16T14:30:04-04:00,2020-05-16 19:30:04+01:00
2,16Levine,sentence,-0.800000011920929,0.800000011920929,,"The coronavirus is a deep, dark life lesson in how to experience something awful while quietly leaning over to your neighbor and whispering, “Can you believe these schmucks?”",BY EITAN LEVINE,Opinion,Article,Op-Ed,"['Funerals and Memorials', 'Holocaust and the Nazi Era', 'Coronavirus (2019-nCoV)', 'Rabbis', 'Quarantines', 'Grandparents']",,,['New York City'],Burying My Bubby During the Pandemic,"The coronavirus is a deep, dark life lesson in how to experience something awful while quietly leaning over to your neighbor and whispering, “Can you believe these schmucks?”",2020-05-16T14:30:04-04:00,2020-05-16 19:30:04+01:00
0,16virus-ukraine-babies,document,-0.30000001192092896,0.8999999761581421,en,,BY ANDREW E. KRAMER,World,Article,News,"['Surrogate Motherhood', 'Coronavirus (2019-nCoV)']",,,['Ukraine'],100 Babies Stranded in Ukraine After Surrogate Births,"Travel bans have prevented the babies’ parents from entering the country. One official says as many as 1,000 babies will be born before restrictions are lifted.",2020-05-16T13:36:58-04:00,2020-05-16 18:36:58+01:00
1,16virus-ukraine-babies,sentence,-0.10000000149011612,0.10000000149011612,,100 Babies Stranded in Ukraine After Surrogate Births.,BY ANDREW E. KRAMER,World,Article,News,"['Surrogate Motherhood', 'Coronavirus (2019-nCoV)']",,,['Ukraine'],100 Babies Stranded in Ukraine After Surrogate Births,"Travel bans have prevented the babies’ parents from entering the country. One official says as many as 1,000 babies will be born before restrictions are lifted.",2020-05-16T13:36:58-04:00,2020-05-16 18:36:58+01:00
2,16virus-ukraine-babies,sentence,-0.699999988079071,0.699999988079071,,Travel bans have prevented the babies’ parents from entering the country.,BY ANDREW E. KRAMER,World,Article,News,"['Surrogate Motherhood', 'Coronavirus (2019-nCoV)']",,,['Ukraine'],100 Babies Stranded in Ukraine After Surrogate Births,"Travel bans have prevented the babies’ parents from entering the country. One official says as many as 1,000 babies will be born before restrictions are lifted.",2020-05-16T13:36:58-04:00,2020-05-16 18:36:58+01:00
3,16virus-ukraine-babies,sentence,-0.10000000149011612,0.10000000149011612,,"One official says as many as 1,000 babies will be born before restrictions are lifted.",BY ANDREW E. KRAMER,World,Article,News,"['Surrogate Motherhood', 'Coronavirus (2019-nCoV)']",,,['Ukraine'],100 Babies Stranded in Ukraine After Surrogate Births,"Travel bans have prevented the babies’ parents from entering the country. One official says as many as 1,000 babies will be born before restrictions are lifted.",2020-05-16T13:36:58-04:00,2020-05-16 18:36:58+01:00
0,16hp-tabs-sports,document,0.10000000149011612,0.30000001192092896,en,,,Home Page,Slideshow,Slideshow,,,,,The Return of Sports During Coronavirus,The Return of Sports During Coronavirus,2020-05-16T13:36:43-04:00,2020-05-16 18:36:43+01:00
1,16hp-tabs-sports,sentence,0.0,0.0,,The Return of Sports During Coronavirus.,,Home Page,Slideshow,Slideshow,,,,,The Return of Sports During Coronavirus,The Return of Sports During Coronavirus,2020-05-16T13:36:43-04:00,2020-05-16 18:36:43+01:00
2,16hp-tabs-sports,sentence,0.20000000298023224,0.20000000298023224,,The Return of Sports During Coronavirus,,Home Page,Slideshow,Slideshow,,,,,The Return of Sports During Coronavirus,The Return of Sports During Coronavirus,2020-05-16T13:36:43-04:00,2020-05-16 18:36:43+01:00
0,16brancazio-virus-lost,document,-0.10000000149011612,0.4000000059604645,en,,BY RICHARD SANDOMIR,Obituaries,Article,Obituary (Obit),"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Physics', 'Baseball', 'Basketball']",,"['Brancazio, Peter J.']",,"Peter Brancazio, Who Explored the Physics of Sports, Dies at 81",He used science to demystify the myths of rising fastballs and Michael Jordan’s seemingly long hang time. He died from complications of the novel coronavirus.,2020-05-16T13:04:49-04:00,2020-05-16 18:04:49+01:00
1,16brancazio-virus-lost,sentence,0.0,0.0,,"Peter Brancazio, Who Explored the Physics of Sports, Dies at 81.",BY RICHARD SANDOMIR,Obituaries,Article,Obituary (Obit),"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Physics', 'Baseball', 'Basketball']",,"['Brancazio, Peter J.']",,"Peter Brancazio, Who Explored the Physics of Sports, Dies at 81",He used science to demystify the myths of rising fastballs and Michael Jordan’s seemingly long hang time. He died from complications of the novel coronavirus.,2020-05-16T13:04:49-04:00,2020-05-16 18:04:49+01:00
2,16brancazio-virus-lost,sentence,0.0,0.0,,He used science to demystify the myths of rising fastballs and Michael Jordan’s seemingly long hang time.,BY RICHARD SANDOMIR,Obituaries,Article,Obituary (Obit),"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Physics', 'Baseball', 'Basketball']",,"['Brancazio, Peter J.']",,"Peter Brancazio, Who Explored the Physics of Sports, Dies at 81",He used science to demystify the myths of rising fastballs and Michael Jordan’s seemingly long hang time. He died from complications of the novel coronavirus.,2020-05-16T13:04:49-04:00,2020-05-16 18:04:49+01:00
